"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
5612.43998741 173.994157182 -3.26946250376 6.40673202394 -4436.18 8880.36 -9.64213e-06
4944.35258262 174.045445097 -3.20843466411 6.23263208466 -4033.49 8074.98 -0.000105275
5513.31306167 172.769428536 -3.0428573361 6.18474921741 -4440.91 8889.82 -7.06164e-06
5072.6355767 173.214440671 -3.10823596061 6.1615414 -4127.94 8263.88 -8.5123e-06
4804.86720095 172.401953526 -2.99732975232 6.16055123177 -3858.21 7724.42 -9.14398e-07
5695.96552211 173.120382019 -3.15800870665 6.27038869103 -4355.4 8718.8 -0.000592388
5563.27295866 172.64087852 -3.07500354398 6.41764340685 -4349.66 8707.32 -9.62262e-05
4967.6568851 172.955533251 -3.04977245126 6.20817206285 -4018.41 8044.82 -2.869e-05
5352.41894015 172.537222481 -3.02320503 6.16766231785 -4348.57 8705.14 -2.43727e-05
5282.49342231 173.177378126 -3.14995808221 6.52037964617 -4219.84 8447.68 -2.20711e-06
5020.75617334 172.697678036 -3.09617686058 6.1706099827 -4018.87 8045.74 -0.0042036
5125.84868447 173.167932519 -3.09713084041 5.97036800427 -4032.35 8072.7 -0.00547162
5280.50414124 172.953263032 -3.02822825801 6.21010104193 -4341.27 8690.54 -0.00318177
5422.80238262 171.665129375 -2.96736060168 6.38433648715 -4294.79 8597.58 -4.92245e-07
5711.88794972 173.237892905 -3.15287328282 6.42737900409 -4457.77 8923.54 -0.00561077
5451.67144858 171.201485901 -2.86582676013 6.15559944359 -4330.16 8668.32 -0.000210047
5110.26984663 173.395684317 -3.13650188002 6.06121037673 -4041.72 8091.44 -5.80216e-06
5582.93664725 174.046476147 -3.31726834463 6.47120139544 -4398.95 8805.9 -0.00739844
4892.04624432 174.022378541 -3.19152199879 6.34605083635 -3921.1 7850.2 -8.92287e-05
5620.07386838 172.650786898 -3.07032220857 6.20709046655 -4568.95 9145.9 -0.00107767
5181.46695788 173.1927937 -3.10348807023 5.93700950928 -4037.89 8083.78 -0.000513563
4999.43211116 172.661976444 -3.06038392468 6.06120897785 -3899.21 7806.42 -0.000399921
5047.70667787 172.605435162 -3.05561893438 6.08014494123 -3957.69 7923.38 -0.000485104
5541.79125741 172.434073588 -3.04598380591 6.262184196 -4399.77 8807.54 -5.31443e-06
4846.14089648 172.909016557 -3.08660663407 6.14692596773 -3781.96 7571.92 -6.00348e-06
5468.21610961 173.615338853 -3.15701288234 6.00127802708 -4468.38 8944.76 -5.32562e-05
4583.20815655 172.745941771 -3.0349047333 5.70206172799 -3588.84 7185.68 -0.00176444
5327.9657408 172.998197998 -3.12455850839 6.16367510831 -4137.82 8283.64 -0.00132337
5292.53728046 172.920276381 -3.06243545182 6.30574674395 -4222.03 8452.06 -3.57086e-05
5375.61866997 173.32066049 -3.16922127877 6.4008087482 -4236.26 8480.52 -0.000439554
5225.98699739 173.10960242 -3.16657750487 6.52071611236 -4042.72 8093.44 -2.06878e-05
5129.9280742 173.813327828 -3.15294858924 6.09124980989 -4175.32 8358.64 -7.15986e-06
4681.23746354 172.665880695 -3.0168156055 6.26127969971 -3818.08 7644.16 -0.000126465
5471.24498127 173.186272727 -3.1347152177 6.29242192934 -4319.52 8647.04 -0.000659686
5470.08257822 173.523055167 -3.2282911077 6.32642452235 -4175.7 8359.4 -8.58156e-05
5839.96197903 173.951030603 -3.21772103852 6.48412614289 -4698.93 9405.86 -1.93851e-05
5443.72008132 172.69872782 -2.9803435636 5.8501772938 -4479.6 8967.2 -0.00132378
5239.930385 172.710780371 -3.03967132226 6.14150112417 -4232.8 8473.6 -0.000835663
