"D" "shape" "scale" "logLik" "AIC" "maxgrad"
5658.97119305 -2.71870388414 -0.37203932439 -2648.83 5303.66 -3.34799e-05
4988.0997276 -2.62393513517 -0.35395958346 -2414.95 4835.9 -5.78295e-05
5511.15244608 -2.62346590986 -0.350208706044 -2681.65 5369.3 -2.19096e-05
5093.717751 -2.73504236172 -0.366518966804 -2452.21 4910.42 -5.47079e-05
4756.03886118 -2.73548996385 -0.360765089081 -2324.85 4655.7 -4.73563e-06
5677.06024308 -2.64437345676 -0.359720523921 -2659.92 5325.84 -4.14536e-06
5564.83613424 -2.50170611733 -0.339746140322 -2663.72 5333.44 -0.000102758
4973.69935872 -2.57666637036 -0.34317700113 -2452.96 4911.92 -3.6042e-06
5327.76993745 -2.7659025084 -0.367194830025 -2588.39 5182.78 -3.826e-06
5246.58037029 -2.64480621393 -0.35561097124 -2517.95 5041.9 -7.54657e-06
5041.3056017 -2.46740882381 -0.339544713226 -2404.09 4814.18 -1.29474e-05
5149.75099979 -2.69685181288 -0.362476582832 -2462.47 4930.94 -2.47826e-05
5270.13235674 -2.75345424641 -0.360827736464 -2603.45 5212.9 -4.08667e-06
5468.81347165 -2.26469390479 -0.314445252343 -2635.74 5277.48 -0.000161025
5718.90976881 -2.53432525637 -0.344506338168 -2734.09 5474.18 -2.71401e-05
5432.79959523 -2.4767387607 -0.333227112346 -2660.4 5326.8 -4.18463e-05
5099.61225497 -2.86543731021 -0.381824228505 -2430.04 4866.08 -6.59072e-06
5602.66787802 -2.66413502293 -0.368101326977 -2605.33 5216.66 -8.56628e-05
4893.93910321 -2.59615157336 -0.346080420579 -2389.72 4785.44 -7.93118e-05
5613.4470159 -2.56111411063 -0.347094389409 -2724.25 5454.5 -1.23249e-05
5167.86891 -2.83402130191 -0.377545067947 -2469.04 4944.08 -3.63974e-05
5015.27496909 -2.71321217322 -0.366440111896 -2367.77 4741.54 -3.97015e-05
5071.71593743 -2.47402551019 -0.337824036301 -2431.99 4869.98 -6.66902e-07
5519.8932796 -2.55626256036 -0.345640179297 -2675.08 5356.16 -3.12894e-05
4823.86925552 -2.74042673057 -0.366470499307 -2303.64 4613.28 -2.34516e-06
5438.78577315 -2.89472569547 -0.383942109821 -2626.87 5259.74 -1.1852e-07
4611.47713845 -2.74491821256 -0.368994021988 -2193.01 4392.02 -4.48846e-05
5321.75096296 -2.54947810966 -0.347239343507 -2518.45 5042.9 -3.5079e-06
5304.36845606 -2.55116454319 -0.341747807137 -2586.89 5179.78 -6.01804e-07
5351.01732436 -2.7131969257 -0.36549114541 -2536.7 5079.4 -3.28608e-05
5172.77763559 -2.59748640083 -0.351678061796 -2468.25 4942.5 -5.12907e-05
5148.90251455 -2.71893741771 -0.361637965858 -2512.43 5030.86 -9.6545e-05
4701.99579955 -2.54623193863 -0.340301510853 -2315.08 4636.16 -8.3609e-05
5451.19311519 -2.64381006807 -0.355856602255 -2621.98 5249.96 -1.39521e-07
5477.54209317 -2.6293048935 -0.361243963573 -2563.23 5132.46 -0.000106567
5828.73830827 -2.67862845113 -0.358408361817 -2813.63 5633.26 -2.70115e-06
5417.58030034 -2.65785668324 -0.348701098249 -2723.32 5452.64 -6.48242e-06
5269.65432068 -2.62751550687 -0.353116649984 -2551.04 5108.08 -1.08668e-07
5588.82099755 -2.58353343164 -0.347810812654 -2716.76 5439.52 -1.47734e-05
5641.77514922 -2.64902278128 -0.361672317783 -2640.05 5286.1 -8.41353e-05
5718.20601627 -2.51819439546 -0.344001298661 -2724.39 5454.78 -3.2223e-05
4797.63083813 -2.64880864954 -0.35290675587 -2360.67 4727.34 -7.11502e-05
5587.04201161 -2.68527253084 -0.362437271531 -2649.84 5305.68 -7.44775e-06
4707.32516226 -2.8308423622 -0.37095202627 -2333.89 4673.78 -1.28924e-05
4809.37592445 -2.7507827288 -0.355980033922 -2437.13 4880.26 -6.17026e-06
5194.52543371 -3.12229158176 -0.408529801372 -2515.92 5037.84 -4.26979e-05
5187.18873573 -2.82410786024 -0.376587826631 -2485.98 4977.96 -6.54431e-05
5229.26119997 -2.46402199638 -0.330567420328 -2591.79 5189.58 -4.76422e-07
5341.02753448 -2.74742786589 -0.369971513395 -2535.79 5077.58 -0.000162825
5129.03525151 -2.66032127286 -0.363891153627 -2425.49 4856.98 -1.99064e-06
5045.60141599 -2.44023234275 -0.337279171479 -2389.65 4785.3 -8.30664e-06
5588.30504738 -2.33568878817 -0.320052250018 -2706.69 5419.38 -0.000226677
5287.64886382 -2.74799445123 -0.374940195885 -2453.29 4912.58 -3.65832e-06
5026.11262472 -2.643833925 -0.35593247766 -2419.25 4844.5 -0.000264769
4834.98362443 -2.70963043984 -0.363416510021 -2314.69 4635.38 -8.779e-06
5926.15649013 -2.72988473287 -0.365699046404 -2843.78 5693.56 -8.01178e-06
5677.48489131 -2.63253096247 -0.355153819663 -2726.84 5459.68 -0.000175874
5449.06329242 -2.61043943223 -0.352495432113 -2606.89 5219.78 -3.21797e-07
5169.4202566 -2.72438146688 -0.375155773994 -2374.89 4755.78 -1.14282e-05
4946.51153051 -2.41765548587 -0.330024772818 -2383.51 4773.02 -1.79704e-06
5407.61316401 -2.52107990624 -0.33066375227 -2744.43 5494.86 -1.42507e-06
5138.06013854 -2.68047696319 -0.358957551057 -2473.93 4953.86 -5.24703e-05
4834.21298046 -2.58312065242 -0.348925386233 -2318.28 4642.56 -1.59198e-05
5068.39511903 -2.61728683582 -0.356875956465 -2403.14 4812.28 -1.26151e-06
5052.10241722 -2.80475483582 -0.376168912897 -2395.49 4796.98 -2.76923e-05
5555.26460433 -2.53086147569 -0.339797522168 -2719.72 5445.44 -1.42238e-06
4682.25001058 -2.49361426275 -0.351143496768 -2147.18 4300.36 -7.80119e-05
5398.24034163 -2.68793617886 -0.362482761805 -2577.68 5161.36 -3.84546e-06
5185.83119598 -2.44569493978 -0.335519140447 -2473.01 4952.02 -9.45611e-05
5677.0495549 -2.75210569237 -0.36969526962 -2697.14 5400.28 -4.3986e-05
